em,country,sector,units,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
NH3,ago,1A4c_Agriculture-forestry-fishing,ktNH3,0.001943721,0.002272458,0.002603124,0.002934935,0.002944208,0.003926678,0.003941403,0.003284502,0.002956052,0.001970701,0.002073505,0.002156009
NH3,ago,1A5_Other-unspecified,ktNH3,4.00E-05,5.00E-05,5.00E-05,5.00E-05,7.00E-05,6.00E-05,7.00E-05,6.00E-05,5.00E-05,4.00E-05,4.21E-05,4.38E-05
NH3,ago,1B1_Fugitive-solid-fuels,ktNH3,20.00662,20.43194,20.85798,21.28359,21.70993,22.13654,22.5624,22.98851,23.73175019,24.48929597,25.26299032,26.05544887
NH3,ago,1B2_Fugitive-petr,ktNH3,0.012167655,0.010735664,0.009641661,0.008149344,0.007838748,0.007100083,0.006167863,0.005766713,0.004714812,0.00362666,0.002931506,0.002236352
NH3,ago,1B2b_Fugitive-NG-distr,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1B2b_Fugitive-NG-prod,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1B2d_Fugitive-other-energy,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2A1_Cement-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2A2_Lime-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2Ax_Other-minerals,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2B_Chemical-industry,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2B2_Chemicals-Nitric-acid,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2B3_Chemicals-Adipic-acid,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2C_Metal-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2D_Chemical-products-manufacture-processing,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2D_Degreasing-Cleaning,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2D_Other-product-use,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2D_Paint-application,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2H_Pulp-and-paper-food-beverage-wood,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,2L_Other-process-emissions,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,3B_Manure-management,ktNH3,30.43369976,31.72174706,33.34155296,34.78567326,36.45268996,38.27893556,40.27737646,42.2918867,43.65922325,45.05287775,46.47624072,47.93412412
NH3,ago,3D_Rice-Cultivation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,3D_Soil-emissions,ktNH3,9.180316861,10.00037571,11.09855473,12.02598484,13.07464788,14.35889262,15.6767601,17.12618918,17.67989502,18.24425836,18.82065221,19.41102519
NH3,ago,3E_Enteric-fermentation,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,3I_Agriculture-other,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,5A_Solid-waste-disposal,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,5C_Waste-combustion,ktNH3,0.824529852,0.825745549,0.819583944,0.808722281,0.793839301,0.775068103,0.752085918,0.752085918,0.752085918,0.752085918,0.752085918,0.752085918
NH3,ago,5D_Wastewater-handling,ktNH3,34.72393925,35.91018025,37.1349195,38.399018,39.699856,41.0343535,42.398167,43.7884545,45.2041765,46.64714775,48.12087875,49.63035175
NH3,ago,5E_Other-waste-handling,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,6A_Other-in-total,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,6B_Other-not-in-total,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,7A_Fossil-fuel-fires,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,7BC_Indirect-N2O-non-agricultural-N,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A1a_Electricity-autoproducer,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A1a_Electricity-public,ktNH3,0,0.000296246,0.000740614,0.00148123,0,0,0,0,0,0,0,0
NH3,alb,1A1a_Heat-production,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,alb,1A1bc_Other-transformation,ktNH3,0.012233087,0.003944065,0.002427325,0.002162405,0.003019589,0.000923716,0.001900807,0.001683542,0.001687623,0.001692114,0.00169676,0.001701405
NH3,alb,1A2a_Ind-Comb-Iron-steel,ktNH3,0.003232761,0.001050002,0.000640633,0.001118468,0.001413318,0.001345912,0.004562183,0.000297534,0.000396712,0.000396712,0.000396034,0.00040141
NH3,alb,1A2b_Ind-Comb-Non-ferrous-metals,ktNH3,0.000215517,9.55E-05,0,0,0,0,0,0,0,0,0,0
